fecha,linea,cantidad
28 December 2014,PRODUCTO A,21.00
29 December 2014,PRODUCTO A,103.00
30 December 2014,PRODUCTO A,62.00
31 December 2014,PRODUCTO A,37.00
1 January 2015,PRODUCTO A,15.00
2 January 2015,PRODUCTO A,97.00
3 January 2015,PRODUCTO A,15.00
4 January 2015,PRODUCTO A,20.00
5 January 2015,PRODUCTO A,52.00
6 January 2015,PRODUCTO A,62.00
7 January 2015,PRODUCTO A,64.00
8 January 2015,PRODUCTO A,38.00
9 January 2015,PRODUCTO A,73.00
10 January 2015,PRODUCTO A,37.00
11 January 2015,PRODUCTO A,10.00
12 January 2015,PRODUCTO A,54.00
13 January 2015,PRODUCTO A,35.00
14 January 2015,PRODUCTO A,42.00
15 January 2015,PRODUCTO A,44.00
16 January 2015,PRODUCTO A,54.00
17 January 2015,PRODUCTO A,18.00
18 January 2015,PRODUCTO A,13.00
19 January 2015,PRODUCTO A,41.00
20 January 2015,PRODUCTO A,52.00
21 January 2015,PRODUCTO A,38.00
22 January 2015,PRODUCTO A,41.00
23 January 2015,PRODUCTO A,28.00
24 January 2015,PRODUCTO A,15.00
25 January 2015,PRODUCTO A,8.00
26 January 2015,PRODUCTO A,72.00
27 January 2015,PRODUCTO A,41.00
28 January 2015,PRODUCTO A,38.00
29 January 2015,PRODUCTO A,38.00
30 January 2015,PRODUCTO A,55.00
31 January 2015,PRODUCTO A,22.00
1 February 2015,PRODUCTO A,17.00
2 February 2015,PRODUCTO A,40.00
3 February 2015,PRODUCTO A,60.00
4 February 2015,PRODUCTO A,48.00
5 February 2015,PRODUCTO A,61.00
6 February 2015,PRODUCTO A,40.00
7 February 2015,PRODUCTO A,16.00
8 February 2015,PRODUCTO A,13.00
9 February 2015,PRODUCTO A,45.00
10 February 2015,PRODUCTO A,49.00
11 February 2015,PRODUCTO A,67.00
12 February 2015,PRODUCTO A,64.00
13 February 2015,PRODUCTO A,48.00
14 February 2015,PRODUCTO A,23.00
15 February 2015,PRODUCTO A,28.00
16 February 2015,PRODUCTO A,89.00
17 February 2015,PRODUCTO A,42.00
18 February 2015,PRODUCTO A,61.00
19 February 2015,PRODUCTO A,63.00
20 February 2015,PRODUCTO A,56.00
21 February 2015,PRODUCTO A,31.00
22 February 2015,PRODUCTO A,33.00
23 February 2015,PRODUCTO A,87.00
24 February 2015,PRODUCTO A,44.00
25 February 2015,PRODUCTO A,46.00
26 February 2015,PRODUCTO A,46.00
27 February 2015,PRODUCTO A,128.00
28 February 2015,PRODUCTO A,38.00
1 March 2015,PRODUCTO A,8.00
2 March 2015,PRODUCTO A,105.00
3 March 2015,PRODUCTO A,101.00
4 March 2015,PRODUCTO A,82.00
5 March 2015,PRODUCTO A,129.00
6 March 2015,PRODUCTO A,74.00
7 March 2015,PRODUCTO A,25.00
8 March 2015,PRODUCTO A,27.00
9 March 2015,PRODUCTO A,68.00
10 March 2015,PRODUCTO A,78.00
11 March 2015,PRODUCTO A,62.00
12 March 2015,PRODUCTO A,61.00
13 March 2015,PRODUCTO A,90.00
14 March 2015,PRODUCTO A,58.00
15 March 2015,PRODUCTO A,11.00
16 March 2015,PRODUCTO A,69.00
17 March 2015,PRODUCTO A,85.00
18 March 2015,PRODUCTO A,81.00
19 March 2015,PRODUCTO A,80.00
20 March 2015,PRODUCTO A,91.00
21 March 2015,PRODUCTO A,40.00
22 March 2015,PRODUCTO A,23.00
23 March 2015,PRODUCTO A,142.00
24 March 2015,PRODUCTO A,143.00
25 March 2015,PRODUCTO A,136.00
26 March 2015,PRODUCTO A,197.00
27 March 2015,PRODUCTO A,150.00
28 March 2015,PRODUCTO A,39.00
29 March 2015,PRODUCTO A,23.00
30 March 2015,PRODUCTO A,136.00
31 March 2015,PRODUCTO A,187.00
1 April 2015,PRODUCTO A,99.00
2 April 2015,PRODUCTO A,17.00
3 April 2015,PRODUCTO A,41.00
4 April 2015,PRODUCTO A,24.00
5 April 2015,PRODUCTO A,52.00
6 April 2015,PRODUCTO A,107.00
7 April 2015,PRODUCTO A,84.00
8 April 2015,PRODUCTO A,91.00
9 April 2015,PRODUCTO A,72.00
10 April 2015,PRODUCTO A,63.00
11 April 2015,PRODUCTO A,32.00
12 April 2015,PRODUCTO A,19.00
13 April 2015,PRODUCTO A,65.00
14 April 2015,PRODUCTO A,84.00
15 April 2015,PRODUCTO A,80.00
16 April 2015,PRODUCTO A,83.00
17 April 2015,PRODUCTO A,117.00
18 April 2015,PRODUCTO A,28.00
19 April 2015,PRODUCTO A,21.00
20 April 2015,PRODUCTO A,71.00
21 April 2015,PRODUCTO A,93.00
22 April 2015,PRODUCTO A,94.00
23 April 2015,PRODUCTO A,109.00
24 April 2015,PRODUCTO A,79.00
25 April 2015,PRODUCTO A,39.00
26 April 2015,PRODUCTO A,14.00
27 April 2015,PRODUCTO A,133.00
28 April 2015,PRODUCTO A,63.00
29 April 2015,PRODUCTO A,96.00
30 April 2015,PRODUCTO A,75.00
1 May 2015,PRODUCTO A,12.00
2 May 2015,PRODUCTO A,52.00
3 May 2015,PRODUCTO A,27.00
4 May 2015,PRODUCTO A,113.00
5 May 2015,PRODUCTO A,182.00
6 May 2015,PRODUCTO A,107.00
7 May 2015,PRODUCTO A,115.00
8 May 2015,PRODUCTO A,89.00
9 May 2015,PRODUCTO A,21.00
10 May 2015,PRODUCTO A,21.00
11 May 2015,PRODUCTO A,227.00
12 May 2015,PRODUCTO A,154.00
13 May 2015,PRODUCTO A,92.00
14 May 2015,PRODUCTO A,79.00
15 May 2015,PRODUCTO A,31.00
16 May 2015,PRODUCTO A,54.00
17 May 2015,PRODUCTO A,23.00
18 May 2015,PRODUCTO A,139.00
19 May 2015,PRODUCTO A,120.00
20 May 2015,PRODUCTO A,146.00
21 May 2015,PRODUCTO A,81.00
22 May 2015,PRODUCTO A,86.00
23 May 2015,PRODUCTO A,71.00
24 May 2015,PRODUCTO A,25.00
25 May 2015,PRODUCTO A,83.00
26 May 2015,PRODUCTO A,89.00
27 May 2015,PRODUCTO A,119.00
28 May 2015,PRODUCTO A,83.00
29 May 2015,PRODUCTO A,114.00
30 May 2015,PRODUCTO A,98.00
31 May 2015,PRODUCTO A,14.00
1 June 2015,PRODUCTO A,149.00
2 June 2015,PRODUCTO A,125.00
3 June 2015,PRODUCTO A,119.00
4 June 2015,PRODUCTO A,165.00
5 June 2015,PRODUCTO A,67.00
6 June 2015,PRODUCTO A,71.00
7 June 2015,PRODUCTO A,43.00
8 June 2015,PRODUCTO A,163.00
9 June 2015,PRODUCTO A,95.00
10 June 2015,PRODUCTO A,92.00
11 June 2015,PRODUCTO A,124.00
12 June 2015,PRODUCTO A,34.00
13 June 2015,PRODUCTO A,66.00
14 June 2015,PRODUCTO A,33.00
15 June 2015,PRODUCTO A,175.00
16 June 2015,PRODUCTO A,181.00
17 June 2015,PRODUCTO A,199.00
18 June 2015,PRODUCTO A,158.00
19 June 2015,PRODUCTO A,133.00
20 June 2015,PRODUCTO A,101.00
21 June 2015,PRODUCTO A,52.00
22 June 2015,PRODUCTO A,152.00
23 June 2015,PRODUCTO A,172.00
24 June 2015,PRODUCTO A,152.00
25 June 2015,PRODUCTO A,167.00
26 June 2015,PRODUCTO A,134.00
27 June 2015,PRODUCTO A,70.00
28 June 2015,PRODUCTO A,46.00
29 June 2015,PRODUCTO A,138.00
30 June 2015,PRODUCTO A,179.00
1 July 2015,PRODUCTO A,186.00
2 July 2015,PRODUCTO A,160.00
3 July 2015,PRODUCTO A,171.00
4 July 2015,PRODUCTO A,70.00
5 July 2015,PRODUCTO A,56.00
6 July 2015,PRODUCTO A,226.00
7 July 2015,PRODUCTO A,157.00
8 July 2015,PRODUCTO A,174.00
9 July 2015,PRODUCTO A,188.00
10 July 2015,PRODUCTO A,57.00
11 July 2015,PRODUCTO A,44.00
12 July 2015,PRODUCTO A,31.00
13 July 2015,PRODUCTO A,135.00
14 July 2015,PRODUCTO A,119.00
15 July 2015,PRODUCTO A,194.00
16 July 2015,PRODUCTO A,152.00
17 July 2015,PRODUCTO A,109.00
18 July 2015,PRODUCTO A,49.00
19 July 2015,PRODUCTO A,26.00
20 July 2015,PRODUCTO A,84.00
21 July 2015,PRODUCTO A,132.00
22 July 2015,PRODUCTO A,162.00
23 July 2015,PRODUCTO A,128.00
24 July 2015,PRODUCTO A,146.00
25 July 2015,PRODUCTO A,33.00
26 July 2015,PRODUCTO A,32.00
27 July 2015,PRODUCTO A,110.00
28 July 2015,PRODUCTO A,158.00
29 July 2015,PRODUCTO A,118.00
30 July 2015,PRODUCTO A,102.00
31 July 2015,PRODUCTO A,72.00
1 August 2015,PRODUCTO A,64.00
2 August 2015,PRODUCTO A,28.00
3 August 2015,PRODUCTO A,111.00
4 August 2015,PRODUCTO A,143.00
5 August 2015,PRODUCTO A,77.00
6 August 2015,PRODUCTO A,65.00
7 August 2015,PRODUCTO A,55.00
8 August 2015,PRODUCTO A,23.00
9 August 2015,PRODUCTO A,16.00
10 August 2015,PRODUCTO A,91.00
11 August 2015,PRODUCTO A,76.00
12 August 2015,PRODUCTO A,92.00
13 August 2015,PRODUCTO A,63.00
14 August 2015,PRODUCTO A,70.00
15 August 2015,PRODUCTO A,29.00
16 August 2015,PRODUCTO A,15.00
17 August 2015,PRODUCTO A,82.00
18 August 2015,PRODUCTO A,90.00
19 August 2015,PRODUCTO A,123.00
20 August 2015,PRODUCTO A,101.00
21 August 2015,PRODUCTO A,73.00
22 August 2015,PRODUCTO A,34.00
23 August 2015,PRODUCTO A,14.00
24 August 2015,PRODUCTO A,100.00
25 August 2015,PRODUCTO A,88.00
26 August 2015,PRODUCTO A,116.00
27 August 2015,PRODUCTO A,89.00
28 August 2015,PRODUCTO A,151.00
29 August 2015,PRODUCTO A,48.00
30 August 2015,PRODUCTO A,33.00
31 August 2015,PRODUCTO A,100.00
1 September 2015,PRODUCTO A,83.00
2 September 2015,PRODUCTO A,71.00
3 September 2015,PRODUCTO A,100.00
4 September 2015,PRODUCTO A,75.00
5 September 2015,PRODUCTO A,52.00
6 September 2015,PRODUCTO A,22.00
7 September 2015,PRODUCTO A,86.00
8 September 2015,PRODUCTO A,144.00
9 September 2015,PRODUCTO A,101.00
10 September 2015,PRODUCTO A,82.00
11 September 2015,PRODUCTO A,109.00
12 September 2015,PRODUCTO A,71.00
13 September 2015,PRODUCTO A,19.00
14 September 2015,PRODUCTO A,136.00
15 September 2015,PRODUCTO A,106.00
16 September 2015,PRODUCTO A,90.00
17 September 2015,PRODUCTO A,81.00
18 September 2015,PRODUCTO A,70.00
19 September 2015,PRODUCTO A,32.00
20 September 2015,PRODUCTO A,12.00
21 September 2015,PRODUCTO A,59.00
22 September 2015,PRODUCTO A,95.00
23 September 2015,PRODUCTO A,68.00
24 September 2015,PRODUCTO A,55.00
25 September 2015,PRODUCTO A,80.00
26 September 2015,PRODUCTO A,20.00
27 September 2015,PRODUCTO A,25.00
28 September 2015,PRODUCTO A,9.00
29 September 2015,PRODUCTO A,85.00
30 September 2015,PRODUCTO A,73.00
1 October 2015,PRODUCTO A,62.00
2 October 2015,PRODUCTO A,57.00
3 October 2015,PRODUCTO A,28.00
4 October 2015,PRODUCTO A,12.00
5 October 2015,PRODUCTO A,124.00
6 October 2015,PRODUCTO A,63.00
7 October 2015,PRODUCTO A,62.00
8 October 2015,PRODUCTO A,66.00
9 October 2015,PRODUCTO A,84.00
10 October 2015,PRODUCTO A,34.00
11 October 2015,PRODUCTO A,25.00
12 October 2015,PRODUCTO A,158.00
13 October 2015,PRODUCTO A,140.00
14 October 2015,PRODUCTO A,124.00
15 October 2015,PRODUCTO A,75.00
16 October 2015,PRODUCTO A,96.00
17 October 2015,PRODUCTO A,44.00
18 October 2015,PRODUCTO A,37.00
19 October 2015,PRODUCTO A,128.00
20 October 2015,PRODUCTO A,74.00
21 October 2015,PRODUCTO A,104.00
22 October 2015,PRODUCTO A,103.00
23 October 2015,PRODUCTO A,75.00
24 October 2015,PRODUCTO A,23.00
25 October 2015,PRODUCTO A,6.00
26 October 2015,PRODUCTO A,71.00
27 October 2015,PRODUCTO A,114.00
28 October 2015,PRODUCTO A,77.00
29 October 2015,PRODUCTO A,64.00
30 October 2015,PRODUCTO A,97.00
31 October 2015,PRODUCTO A,19.00
1 November 2015,PRODUCTO A,14.00
2 November 2015,PRODUCTO A,64.00
3 November 2015,PRODUCTO A,101.00
4 November 2015,PRODUCTO A,73.00
5 November 2015,PRODUCTO A,66.00
6 November 2015,PRODUCTO A,90.00
7 November 2015,PRODUCTO A,44.00
8 November 2015,PRODUCTO A,13.00
9 November 2015,PRODUCTO A,86.00
10 November 2015,PRODUCTO A,66.00
11 November 2015,PRODUCTO A,80.00
12 November 2015,PRODUCTO A,69.00
13 November 2015,PRODUCTO A,64.00
14 November 2015,PRODUCTO A,33.00
15 November 2015,PRODUCTO A,13.00
16 November 2015,PRODUCTO A,38.00
17 November 2015,PRODUCTO A,84.00
18 November 2015,PRODUCTO A,71.00
19 November 2015,PRODUCTO A,50.00
20 November 2015,PRODUCTO A,90.00
21 November 2015,PRODUCTO A,33.00
22 November 2015,PRODUCTO A,13.00
23 November 2015,PRODUCTO A,75.00
24 November 2015,PRODUCTO A,61.00
25 November 2015,PRODUCTO A,53.00
26 November 2015,PRODUCTO A,53.00
27 November 2015,PRODUCTO A,109.00
28 November 2015,PRODUCTO A,19.00
